GCLAverageExpertLogPtau,Entropy,GCLMedianExpertLogQtau,GCLMedianLogQtau,AvgRewardCtrl,AvgRewardContact,GCLAverageEnergy,ProcessExecTime,PolicyExecTime,AveragePolicyStd,GCLAverageExpertEnergy,GCLLogZ,ExplainedVariance,Iteration,ItrTime,MinReturn,IRLLoss,MeanKLBefore,NumTrajs,LossBefore,EnvExecTime,Perplexity,IRLRewardMin,GCLAverageLogPtau,AverageReturn,AvgRewardFlipped,IRLRewardMax,IRLRewardMean,Time,OriginalTaskAverageReturn,GCLAverageLogQtau,AvgRewardFwd,StdReturn,GCLDiscrimLoss,dLoss,GCLAverageExpertLogQtau,AverageDiscountedReturn,MaxReturn,LossAfter,GCLAverageDtau,GCLAverageExpertDtau,MeanKL
-1.043,11.3515,-13.4375,-11.0339,-0.102876424527,-0.00243786097425,1.25015,0.13761472702026367,0.3446693420410156,1.0,0.98268,-0.0164213,9.98257032592e-12,0,10.950584650039673,-652.998318805,5.37745,0.0,20,-1.13515102863,6.78950309753418,85093.5,-5.2374,-1.23373,-625.07384879,0.0,0.666027,-1.25015,10.950580358505249,-57.8136497319,-11.3391,-0.0103130139622,17.2118728035,5.37745,0.0446552038193,-14.0103,-128.543153693,-596.24383752,-1.17980623245,0.999776,0.999928,0.00642849178985
-2.20856,11.3423,-13.3876,-10.9881,-0.102187816062,-0.00243525743047,2.16274,0.11717343330383301,0.3203127384185791,0.998852,2.09914,0.0210224,0.813772161797,1,9.644902229309082,-1099.33359721,4.79434,0.0,20,-1.1342279911,6.867343425750732,84312.4,-6.21904,-2.18377,-1079.95697421,0.0,-0.0738574,-2.15991,20.60187864303589,-53.9940662862,-11.3249,-0.00336505908019,17.2752315625,4.79434,0.042643904686,-13.9798,-221.045208127,-1044.14715788,-1.17687189579,0.999331,0.999681,0.00642320420593
-3.47862,11.3253,-13.3546,-10.9844,-0.100851021041,-0.0025105725326,3.2662,0.13851666450500488,0.6409049034118652,0.996747,3.36012,0.0195691,0.874441471127,2,11.047435760498047,-1663.14944035,4.33978,0.0,20,-1.13253366947,8.031102180480957,82895.6,-7.99533,-3.28577,-1617.69099606,0.0,-0.653936,-3.23538,31.655968189239502,-52.5800168429,-11.3171,-0.00179844011246,36.3299013411,4.33978,0.0575485229492,-13.947,-328.061975416,-1511.93568671,-1.19008219242,0.997393,0.998451,0.00996662769467
-5.06407,11.324,-13.3421,-10.9898,-0.101637569546,-0.00251207823243,4.66126,0.10933732986450195,0.29720115661621094,0.996578,4.93395,0.00423569,0.902189554379,3,8.800283432006836,-2408.00906408,3.86645,0.0,20,-1.13239645958,6.413733720779419,82781.6,-11.981,-4.6655,-2320.67329098,0.0,-1.00256,-4.64135,40.463706493377686,-48.1023513618,-11.312,0.00794494505466,61.4108444354,3.86645,0.0580475330353,-13.9525,-472.682246874,-2198.17823398,-1.19044399261,0.98809,0.990054,0.00992948375642
-6.917,11.3474,-13.2468,-11.0312,-0.102398338487,-0.00245857229839,6.4023,0.1059732437133789,0.28460073471069336,0.999516,6.85349,-0.0675137,0.916652398921,4,8.708395004272461,-3306.6455369,2.91269,0.0,20,-1.13473594189,6.290131568908691,84741.2,-13.2239,-6.33478,-3163.97768947,0.0,-1.5617,-6.32796,49.17988991737366,-54.4493361747,-11.3434,-0.00404176156376,111.961170286,2.91269,0.0484443902969,-13.8647,-644.363390127,-2892.04367328,-1.18318033218,0.947417,0.955125,0.00642053829506
-8.9159,11.3528,-13.1785,-11.0187,-0.101887948782,-0.00245962974763,8.71289,0.12516546249389648,0.27971911430358887,1.00021,8.9778,-0.167224,0.909903149655,5,8.661437034606934,-4534.77821469,1.95899,0.0,20,-1.13528382778,6.356385707855225,85207.1,-18.4613,-8.54567,-4318.70798095,0.0,-2.08345,-8.63742,57.84765672683716,-52.2017682365,-11.3409,-5.59579430865e-05,123.98511386,1.95899,0.0457278490067,-13.7908,-867.163348551,-4082.10948348,-1.18101167679,0.78691,0.874064,0.0064921095036
-10.6704,11.3578,-13.1075,-11.0052,-0.101228896773,-0.00251122122918,11.138,0.12581706047058105,0.30135607719421387,1.00086,10.8977,-0.282312,0.943307560564,6,8.644220113754272,-5686.3858664,1.44026,0.0,20,-1.13577985764,6.471794605255127,85630.6,-21.6664,-10.8557,-5546.94481404,0.0,-2.76559,-11.0939,66.49844646453857,-49.752602415,-11.3203,0.00423491317171,106.449591296,1.44026,0.0430415868759,-13.725,-1131.54400562,-5374.78338218,-1.17882144451,0.518597,0.737815,0.0064314561896
-11.2138,11.347,-13.1508,-11.0178,-0.100710888384,-0.00248908295287,12.6907,0.10896492004394531,0.29491567611694336,0.999488,11.6741,-0.452946,0.957819518518,7,8.628871202468872,-6587.66205096,0.951203,0.0,20,-1.13470256329,6.518595933914185,84712.4,-23.0515,-12.2378,-6307.66817173,0.0,-3.12148,-12.6153,75.1338620185852,-51.4781988599,-11.3444,0.00024357361744,247.970784375,0.951203,0.0480461120605,-13.7705,-1280.49431275,-5707.66826296,-1.18274867535,0.352241,0.682107,0.00647575082257
-10.5783,11.3537,-13.0859,-11.0105,-0.100469814137,-0.00254115317737,13.2287,0.11468672752380371,0.29749488830566406,1.00034,11.2352,-0.594612,0.980519906541,8,8.788243770599365,-6997.06772113,0.704808,0.0,20,-1.13536989689,6.607106447219849,85280.2,-26.5143,-12.6341,-6606.60060179,0.0,-3.19111,-13.2132,83.92827582359314,-52.8100384292,-11.339,-0.00260910954355,184.016029253,0.704808,0.0461473464966,-13.6861,-1327.09557951,-6168.78945637,-1.18151724339,0.297826,0.730449,0.00647617038339
-9.81017,11.3556,-13.139,-11.0134,-0.10084330009,-0.00251292604179,13.4196,0.13568592071533203,0.31716203689575195,1.00057,10.6433,-0.728238,0.982881927851,9,8.672885417938232,-6975.4035778,0.611504,0.0,20,-1.1355625391,6.593477725982666,85444.8,-24.1906,-12.6914,-6639.39310825,0.0,-3.42974,-13.2788,92.60750675201416,-50.8979813005,-11.3321,0.00156026353074,198.290272467,0.611504,0.0456962585449,-13.7636,-1352.56442686,-6114.76243615,-1.18125879765,0.278854,0.796938,0.00644138967618
