LossAfter,AvgRewardFwd,ProcessExecTime,AvgRewardCtrl,AverageDiscountedReturn,Time,ItrTime,EnvExecTime,dLoss,Entropy,Iteration,MeanKLBefore,AveragePolicyStd,AvgRewardFlipped,MeanKL,Perplexity,AverageReturn,NumTrajs,MinReturn,PolicyExecTime,MaxReturn,StdReturn,ExplainedVariance,LossBefore,AvgRewardContact
-1.17364609241,-0.00557330323015,0.15989422798156738,-0.101429324792,-11.794136009,13.598340511322021,13.598354578018188,11.00900411605835,0.0384953022003,11.3515,0,0.0,1.0,0.0,0.00992804672569,85093.5,-54.7021560132,40,-95.8949561888,0.31786680221557617,-6.39627373717,20.1607040175,2.37415975768e-10,-1.13515079021,-0.00240168400392
-1.171839118,0.00375473034148,0.16057276725769043,-0.100632358424,-10.6635885124,26.357197284698486,12.754573822021484,11.135902643203735,0.038219332695,11.3362,1,0.0,0.998102,0.0,0.00996838137507,83800.6,-49.6394309694,40,-83.5128123255,0.2888767719268799,-2.32692478341,21.0003327249,0.14271025135,-1.13361978531,-0.00240123385662
-1.17339408398,0.00874048583098,0.15344762802124023,-0.100305475019,-9.74538464541,38.733217000961304,12.372109651565552,10.899361371994019,0.0401577949524,11.3324,2,0.0,0.997631,0.0,0.00965586584061,83479.9,-46.9854350291,40,-106.103824836,0.27947497367858887,-7.532910193,21.1760293419,0.170773249515,-1.13323628902,-0.00240588086995
-1.16505646706,0.0143396070782,0.15592265129089355,-0.100742825261,-10.3595763086,51.47555685043335,12.738339900970459,11.130655527114868,0.0311427116394,11.3391,3,0.0,0.998491,0.0,0.00640960084274,84047.0,-44.3975236115,40,-107.152952604,0.3057374954223633,1.38324364328,24.1793296295,0.186568655352,-1.13391375542,-0.0023918290398
-1.16461312771,0.0221201802997,0.15372133255004883,-0.101369626435,-8.50971426032,63.75629019737244,12.276822566986084,10.763846635818481,0.0312511920929,11.3336,4,0.0,0.997812,0.0,0.00642240373418,83584.8,-40.8285793593,40,-91.1000564472,0.26930785179138184,-7.92467781851,17.9417680355,0.109199002091,-1.13336193562,-0.00240771258328
-1.16723012924,0.0255111261767,0.18360066413879395,-0.101375397047,-8.43181136761,76.50980234146118,12.749553442001343,11.188127756118774,0.0337916612625,11.3344,5,0.0,0.997923,0.0,0.00644296174869,83649.1,-39.1363570813,40,-80.7035831459,0.29853034019470215,-8.04108774969,15.6772041917,0.213874712176,-1.13343846798,-0.00240844329233
-1.16455388069,0.0336496789532,0.15465593338012695,-0.10058077114,-7.046144983,89.12551665306091,12.611586809158325,11.060231685638428,0.0296152830124,11.3494,6,0.0,0.999795,0.0,0.00643642898649,84913.3,-34.6707754914,40,-78.8647626162,0.3024125099182129,9.29457090675,18.8249386221,0.0348522403697,-1.13493859768,-0.00241045879619
-1.16285610199,0.0364484234186,0.15654635429382324,-0.100358223365,-6.35424721647,101.67557287216187,12.546111345291138,11.068278074264526,0.0302672386169,11.3259,7,0.0,0.996846,0.0,0.00651053478941,82940.8,-33.1681663706,40,-76.0533309415,0.30217766761779785,9.3374939821,20.5689464414,0.136341055134,-1.13258886337,-0.00242653279437
-1.16909277439,0.0412735662661,0.17500543594360352,-0.099677755514,-7.18569134627,114.21294212341309,12.53333854675293,11.013993263244629,0.0380479097366,11.3105,8,0.0,0.994919,0.0,0.00993066746742,81671.0,-30.4040268981,40,-76.1353484238,0.30320000648498535,10.3278005914,20.3371376742,0.0827634373993,-1.13104486465,-0.00240386454843
-1.16531860828,0.051378919982,0.1492595672607422,-0.0996783990001,-7.31625346632,126.7395269870758,12.522480726242065,11.04663348197937,0.0363221168518,11.29,9,0.0,0.992387,0.0,0.00986776314676,80014.5,-25.3485485642,40,-72.2095291528,0.28849172592163086,16.2367494521,21.1902355145,0.120590218688,-1.12899649143,-0.00239761811038
-1.16747009754,0.0464265871038,0.2032773494720459,-0.0995733352,-6.81233567808,139.78227758407593,13.038927555084229,11.55054759979248,0.0395234823227,11.2795,10,0.0,0.991103,0.0,0.0099823595956,79178.8,-27.7745883846,40,-79.4529161467,0.30901551246643066,9.0160128956,18.6687671237,0.0780606227703,-1.12794661522,-0.00240242867304
-1.15808701515,0.0626997925258,0.1542520523071289,-0.0989727120152,-4.03594065293,152.06392741203308,12.277656555175781,10.722498893737793,0.0303385257721,11.2775,11,0.0,0.990837,0.0,0.0064791906625,79022.0,-19.3603584682,40,-51.7528218283,0.26825451850891113,33.0363797827,21.0804068497,0.0638007352683,-1.12774848938,-0.00244779744689
-1.16658174992,0.0596636214995,0.15359973907470703,-0.0993446253967,-4.18248534101,164.74687266349792,12.67621397972107,11.178312540054321,0.039842247963,11.2674,12,0.0,0.989614,0.0,0.00994029734284,78228.9,-21.0473008113,40,-56.0149855687,0.30098724365234375,30.509465931,16.7151839118,0.110472741685,-1.12673950195,-0.00241359772558
-1.16487574577,0.0686947679428,0.18581748008728027,-0.099084078784,-3.80673623943,177.33802795410156,12.587318897247314,11.058324337005615,0.037837266922,11.2704,13,0.0,0.989971,0.0,0.0099966339767,78463.3,-16.3965215513,40,-68.0222970122,0.30023741722106934,24.4549856748,20.1516313742,0.108035633103,-1.12703847885,-0.00240373226131
-1.15726792812,0.077225292913,0.19434785842895508,-0.0986522684388,-2.32453747713,191.41663718223572,14.07368016242981,12.313917398452759,0.0322134494781,11.2505,14,0.0,0.987543,0.0,0.00650876294822,76921.9,-11.9278907124,40,-45.8798630841,0.4192843437194824,35.0480528984,17.059208441,0.0815982750876,-1.12505447865,-0.00242880589897
-1.15586698055,0.0579755157606,0.18231678009033203,-0.0981690703244,-4.13607123722,205.64588475227356,14.225325584411621,12.539879560470581,0.0309299230576,11.2494,15,0.0,0.98737,0.0,0.00647837622091,76831.7,-21.3048669248,40,-68.6779784513,0.43421173095703125,10.7006957006,16.7624197861,0.119293390292,-1.1249370575,-0.00241617928585
-1.15503787994,0.0860055274359,0.15468168258666992,-0.0979816460101,-1.95015243212,217.83942580223083,12.189530849456787,10.755461692810059,0.0307512283325,11.2429,16,0.0,0.986598,0.0,0.0064446167089,76333.6,-7.22147018376,40,-69.2114871882,0.27086782455444336,30.4174889582,21.5006362495,0.116992320908,-1.12428665161,-0.00246682179331
-1.15352523327,0.0678947256062,0.18700790405273438,-0.0976919931221,-2.91264540261,230.51650762557983,12.673011302947998,11.14014196395874,0.0306042432785,11.2292,17,0.0,0.98489,0.0,0.00647805491462,75298.3,-16.1019601733,40,-70.6783729416,0.29975414276123047,26.4696712256,21.3260313596,-1.00827938174,-1.12292098999,-0.00240665283079
