Entropy,AvgRewardFwd,ExplainedVariance,AverageDiscountedReturn,NumTrajs,Perplexity,AveragePolicyStd,Time,LossAfter,AvgRewardCtrl,AvgRewardFlipped,MinReturn,ProcessExecTime,StdReturn,IRLRewardMean,OriginalTaskAverageReturn,PolicyExecTime,AvgRewardContact,LossBefore,MeanKL,AverageReturn,MaxReturn,EnvExecTime,Iteration,IRLRewardMax,ItrTime,IRLRewardMin,dLoss,MeanKLBefore
11.3515,0.0333329704857,4.98490138057e-14,-1870.59331098,20,85093.5,1.0,15.547911882400513,-1.17151355743,-0.0947370904877,0.0,-9395.31072235,0.1618061065673828,109.13790919,-18.4221,-32.3113830199,0.7782325744628906,-0.00321864603781,-1.1351505518,0.00647565443069,-9211.072998,-8945.37913275,12.077224016189575,0,-4.98846,15.547916650772095,-33.0066,0.0363630056381,0.0
11.3364,0.0405645527989,0.992065525182,-1868.55385892,20,83818.5,0.998125,29.30350089073181,-1.1785248518,-0.0939531005114,0.0,-9390.1265192,0.1621253490447998,116.197059666,-18.4579,-28.3294427493,0.6671977043151855,-0.00327033778607,-1.13364088535,0.0099801775068,-9228.92814305,-8950.19747162,12.305497407913208,1,-7.27269,13.745434045791626,-30.8341,0.0448839664459,0.0
11.3285,0.0445442211463,0.991149475565,-1853.10795398,20,83157.4,0.997139,42.520758628845215,-1.18407440186,-0.0949076338872,0.0,-9557.96490574,0.17972922325134277,142.697676399,-18.2726,-26.7884743195,0.7114729881286621,-0.00321353589806,-1.13284897804,0.0099086612463,-9136.31522682,-8941.87246513,11.614686489105225,2,-4.68406,13.207821607589722,-31.3525,0.0512254238129,0.0
11.3499,0.0499252690894,0.990992249841,-1849.74736882,20,84959.1,0.999828,56.0321249961853,-1.1723357439,-0.0954629917117,0.0,-9347.18309307,0.17167329788208008,140.591238216,-18.2166,-24.3396933488,0.7171006202697754,-0.00314166407537,-1.1349927187,0.00652809068561,-9108.3140445,-8913.16074657,11.844783306121826,3,-5.38373,13.501672267913818,-31.1791,0.0373430252075,0.0
11.3475,0.0500000093192,0.990399604934,-1835.83277962,20,84749.9,0.999529,69.95514512062073,-1.18936133385,-0.0957015206531,0.0,-9470.07879829,0.24235200881958008,159.12863513,-18.1297,-24.4180279624,0.733557939529419,-0.00313454459098,-1.1347463131,0.00998002570122,-9064.83599389,-8817.31947565,12.188132762908936,4,-6.14058,13.911701440811157,-29.9831,0.054615020752,0.0
11.3637,0.0542074836457,0.990888770793,-1841.82026278,20,86133.9,1.00157,83.20128989219666,-1.17398929596,-0.0962543179127,0.0,-9373.89778709,0.21307015419006348,141.785932832,-18.1002,-22.5978585122,0.6557469367980957,-0.00314888275745,-1.13636577129,0.00644696503878,-9050.08670611,-8827.4197588,11.603634119033813,5,-5.00313,13.236572265625,-30.9663,0.0376235246658,0.0
11.3443,0.0698570613849,0.991232764821,-1827.32595247,20,84485.5,0.999151,97.25622582435608,-1.17693316936,-0.0967175165583,0.0,-9245.5390501,0.16910648345947266,136.176785095,-18.0156,-15.0094574194,0.6166484355926514,-0.00315845966539,-1.13443410397,0.00642698444426,-9007.80121338,-8803.80956554,12.478691816329956,6,-5.09109,14.025362730026245,-31.1489,0.0424990653992,0.0
11.348,0.0597209235641,0.989704875391,-1832.70652339,20,84792.3,0.999599,110.641597032547,-1.1740783453,-0.0963344868606,0.0,-9232.91148853,0.18172717094421387,161.504750708,-17.9174,-19.8500322598,0.7174906730651855,-0.00308650122304,-1.13479614258,0.00640687346458,-8958.71609323,-8661.61612272,11.787812232971191,7,-6.44455,13.363464832305908,-30.0923,0.0392822027206,0.0
11.3481,0.0689705330322,0.990035869217,-1813.84903751,20,84805.4,0.999611,124.35633754730225,-1.1755541563,-0.0964994134945,0.0,-9155.77584457,0.16138386726379395,126.725824509,-17.8061,-15.3143175079,0.8888087272644043,-0.00309975455342,-1.13481128216,0.00648138066754,-8903.06911845,-8687.1021595,11.958084344863892,8,-6.50321,13.705533981323242,-31.7548,0.0407428741455,0.0
11.339,0.0711983623665,0.991166859319,-1799.80243532,20,84033.6,0.998489,137.91143536567688,-1.1783156395,-0.0972432059396,0.0,-9163.12032032,0.19207286834716797,106.21432805,-17.8102,-14.5476941999,0.7180824279785156,-0.00305054482658,-1.13389694691,0.00654067145661,-8905.07544279,-8748.10558319,11.870643615722656,9,-6.03421,13.537440061569214,-31.5943,0.0444186925888,0.0
11.3578,0.0812306017067,0.99091792888,-1797.51862364,20,85626.6,1.00088,150.9790768623352,-1.17294979095,-0.0970381819289,0.0,-9119.43119526,0.189927339553833,142.240345475,-17.5962,-9.40561396847,0.7255640029907227,-0.00300364771475,-1.13577497005,0.00642126332968,-8798.12421415,-8529.68635321,11.361101388931274,10,-4.67345,13.057755947113037,-29.9941,0.0371748209,0.0
11.3308,0.0793247339319,0.98770727785,-1792.03552921,20,83346.3,0.997544,164.3559775352478,-1.16944789886,-0.0967578153772,0.0,-9303.94243717,0.19321966171264648,193.199537288,-17.5922,-10.2496791485,0.6590738296508789,-0.00306627685164,-1.13307631016,0.00645137252286,-8796.07668285,-8519.40641403,11.801775455474854,11,-5.96107,13.365548849105835,-31.0769,0.036371588707,0.0
11.3002,0.0780526522677,0.989031350445,-1788.7319175,20,80833.8,0.993736,178.92312479019165,-1.16914570332,-0.0964075112774,0.0,-8988.31479645,0.23203134536743164,143.796651066,-17.5248,-10.671950519,0.6875226497650146,-0.00298904202832,-1.13001525402,0.00644844677299,-8762.37948694,-8469.03313351,12.916665077209473,12,-6.19051,14.555413961410522,-28.9123,0.039130449295,0.0
11.3098,0.0809566708775,0.989362779803,-1763.121229,20,81617.4,0.994954,192.5129783153534,-1.168014884,-0.0975120281534,0.0,-8966.22077179,0.19838666915893555,141.686418256,-17.38,-9.73638382618,0.69978928565979,-0.00291741037642,-1.1309800148,0.00644021760672,-8689.9768563,-8426.84915113,11.838397741317749,13,-5.01643,13.577863931655884,-30.8595,0.037034869194,0.0
11.2883,0.0892466647153,0.988713722676,-1762.83621161,20,79877.9,0.992346,204.68806409835815,-1.17193460464,-0.0977281991315,0.0,-8838.32903671,0.15631437301635742,123.454807612,-17.2414,-5.71256252043,0.4972071647644043,-0.00294359062468,-1.12882518768,0.00642128521577,-8620.71047347,-8395.14661837,10.780998468399048,14,-4.8076,12.163492441177368,-29.7242,0.0431094169617,0.0
11.3027,0.092097083269,0.985567960858,-1766.15152698,20,81042.8,0.994106,216.8379454612732,-1.18213129044,-0.0981223608924,0.0,-9000.3043499,0.12219476699829102,178.708292512,-17.2772,-4.49803298979,0.5131607055664062,-0.0029707883562,-1.13027334213,0.00990417506546,-8638.60474651,-8362.61563301,10.732281684875488,15,-5.74597,12.133312940597534,-30.5881,0.0518579483032,0.0
