AvgRewardFwd,AverageReturn,AvgRewardContact,NumTrajs,LossAfter,ExplainedVariance,ProcessExecTime,PolicyExecTime,ItrTime,dLoss,Time,AveragePolicyStd,AverageDiscountedReturn,MeanKL,Entropy,LossBefore,StdReturn,AvgRewardCtrl,MinReturn,Iteration,EnvExecTime,MeanKLBefore,Perplexity,AvgRewardFlipped,MaxReturn
0.019422977192,-43.2410380609,-0.00235849555739,40,-1.16627919674,2.03874361837e-10,0.21973800659179688,0.3211860656738281,14.177860021591187,0.0311284065247,14.177858114242554,1.0,-6.93579555437,0.00646543409675,11.3515,-1.13515079021,19.9422032034,-0.103546557757,-82.462854055,0,11.16257643699646,0.0,85093.5,0.0,-5.52968312073
0.0213275158236,-42.4295057637,-0.00237726556302,40,-1.16599595547,0.14081075572,0.32417988777160645,0.29322361946105957,13.098351955413818,0.0312583446503,27.280672073364258,0.999489,-7.66395411354,0.00642748782411,11.3474,-1.13473761082,18.4001469549,-0.103809261788,-83.3509098983,1,11.2988862991333,0.0,84742.4,0.0,-0.352866408341
0.0316730725303,-36.7478269105,-0.00237559152547,40,-1.17182016373,0.139831006339,0.31498122215270996,0.36066532135009766,14.003732442855835,0.036961555481,41.288771867752075,0.999642,-7.24243743847,0.00999293848872,11.3486,-1.13485860825,24.0104259961,-0.102793134826,-95.0252181541,2,12.15907073020935,0.0,84845.6,0.0,26.0445816004
0.0399030574429,-32.7043895834,-0.00234595830066,40,-1.16552555561,0.176316902183,0.21735811233520508,0.3187873363494873,13.200670719146729,0.0320929288864,54.493661403656006,0.997864,-6.93639598385,0.00642012478784,11.3343,-1.13343262672,23.7816980219,-0.102965878309,-82.234380787,3,11.588507652282715,0.0,83644.5,0.0,18.9105032372
0.0385453314035,-33.0819804751,-0.0023438618897,40,-1.16386640072,0.161106409967,0.1592874526977539,0.3142108917236328,13.072767734527588,0.0311255455017,67.57044649124146,0.997,-5.76008925922,0.0064780046232,11.3274,-1.13274085522,22.9780013026,-0.102365430464,-91.5196351964,4,11.527724027633667,0.0,83067.0,0.0,12.7991132674
0.0399646779069,-32.3383626807,-0.00236266253785,40,-1.16415894032,0.14710777057,0.18959808349609375,0.3033559322357178,13.304365634918213,0.0325080156326,80.87913918495178,0.995643,-6.41527833273,0.0064728744328,11.3165,-1.13165092468,22.4449342443,-0.10227874073,-88.8707483917,5,11.632505178451538,0.0,82166.9,0.0,29.3542917857
0.0523276430859,-25.9147841294,-0.00232284661653,40,-1.16166055202,0.176301497574,0.1591341495513916,0.3401153087615967,13.219525337219238,0.030445098877,94.10290026664734,0.995104,-3.69026467227,0.00643038796261,11.3122,-1.13121545315,25.2143457929,-0.101834364728,-77.223930584,6,11.732587575912476,0.0,81810.3,0.0,39.9338381024
0.0622156325207,-20.8483839867,-0.00237365203573,40,-1.16140508652,0.107497878017,0.16347169876098633,0.291811466217041,12.789454936981201,0.0318655967712,106.89640808105469,0.993035,-4.2906045694,0.00643227389082,11.2954,-1.12953948975,22.5241389487,-0.101538748458,-67.7471080223,7,11.331241846084595,0.0,80450.3,0.0,22.0876204568
0.0396425632217,-32.0093139264,-0.00229919478012,40,-1.16001117229,0.176364678921,0.15673017501831055,0.31027674674987793,12.716747999191284,0.0307269096375,119.61709189414978,0.992721,-6.85711425086,0.00640592491254,11.2928,-1.12928426266,22.601969458,-0.101361996294,-99.6295006984,8,11.269941568374634,0.0,80245.2,0.0,24.5592656778
0.0686640645077,-17.1313350158,-0.00231669457438,40,-1.15702044964,0.0978993538321,0.15981173515319824,0.2945725917816162,12.667695760726929,0.0291596651077,132.28877234458923,0.990969,-3.06885561713,0.00646714307368,11.2786,-1.12786078453,23.023128245,-0.100610039965,-78.2175868156,9,11.237536430358887,0.0,79111.0,0.0,40.0251479457
0.0594539310781,-21.9515592188,-0.002365640245,40,-1.15535664558,0.158732571266,0.15872526168823242,0.2910807132720947,12.774433135986328,0.0301029682159,145.06742095947266,0.987734,-2.12318416754,0.00643134769052,11.2525,-1.12525367737,25.8701035074,-0.100991409271,-71.8304480312,10,11.284070253372192,0.0,77075.3,0.0,36.6536295064
0.0716933153329,-15.6542395671,-0.00235431743442,40,-1.16302537918,0.168637173172,0.15630435943603516,0.290865421295166,12.638153553009033,0.038504242897,157.70956254005432,0.986841,-2.67457822374,0.00999772828072,11.2452,-1.12452113628,26.086242639,-0.100647477033,-95.9718043783,11,11.204044580459595,0.0,76512.9,0.0,36.8388040224
0.0832619583401,-10.0249564636,-0.00232565082767,40,-1.16456460953,-0.0167384929138,0.15723776817321777,0.2905235290527344,12.635027885437012,0.0403307676315,170.34938144683838,0.986497,-2.06053853987,0.0098387952894,11.2423,-1.1242338419,20.8044676538,-0.10098622044,-45.35287558,12,11.219839334487915,0.0,76292.9,0.0,28.2110880401
0.0647524883636,-19.3274007317,-0.00232010913559,40,-1.16176617146,0.0874999325656,0.1566321849822998,0.28981542587280273,12.699007034301758,0.0376995801926,183.05237126350403,0.986289,-1.69717055229,0.00993581209332,11.2407,-1.12406659126,24.2330093541,-0.101087180691,-73.2264239578,13,11.265882015228271,0.0,76165.5,0.0,24.0021828486
0.0794792470277,-11.1677755972,-0.00234507061814,40,-1.15269851685,0.157929919122,0.15698456764221191,0.28807783126831055,12.776954650878906,0.030389547348,195.8333055973053,0.984119,-1.17966393436,0.00652087014169,11.2231,-1.1223089695,27.6335286691,-0.0994697276041,-96.7788405524,14,11.257595539093018,0.0,74838.3,0.0,47.553446298
