GCLAverageExpertLogPtau,Entropy,GCLMedianExpertLogQtau,GCLMedianLogQtau,AvgRewardCtrl,AvgRewardContact,GCLAverageEnergy,ProcessExecTime,PolicyExecTime,AveragePolicyStd,GCLAverageExpertEnergy,GCLLogZ,ExplainedVariance,Iteration,ItrTime,MinReturn,IRLLoss,MeanKLBefore,NumTrajs,LossBefore,EnvExecTime,Perplexity,IRLRewardMin,GCLAverageLogPtau,AverageReturn,AvgRewardFlipped,IRLRewardMax,IRLRewardMean,Time,OriginalTaskAverageReturn,GCLAverageLogQtau,AvgRewardFwd,StdReturn,GCLDiscrimLoss,dLoss,GCLAverageExpertLogQtau,AverageDiscountedReturn,MaxReturn,LossAfter,GCLAverageDtau,GCLAverageExpertDtau,MeanKL
-10.5438,11.334,-13.0503,-10.9757,-0.0995142383257,-0.00220258789316,13.321,0.0947723388671875,0.3395369052886963,0.997946,10.2676,0.332399,0.981145861802,10,8.415520191192627,-6909.18861151,0.603445,0.0,20,-1.13340318203,6.488909959793091,83619.4,-25.9376,-13.6534,-6560.95396423,0.0,-4.477,-13.1219,98.84043407440186,-39.3633647298,-11.3079,0.0229900967594,262.742732433,0.603445,0.0462641716003,-13.5313,-1324.43360349,-5856.12086773,-1.17966735363,0.288914,0.80128,0.00658797752112
-10.4186,11.3231,-13.0375,-11.0057,-0.100320279228,-0.00216981116088,13.6822,0.0948176383972168,0.3253967761993408,0.996569,10.2313,0.27286,0.977905954708,11,8.495065212249756,-7238.09000874,0.553447,0.0,20,-1.13230860233,6.597061395645142,82709.3,-28.2519,-13.9551,-6844.45717497,0.0,-4.71608,-13.6889,107.34336829185486,-47.3444652476,-11.3389,0.00780115989363,372.775933805,0.553447,0.0522081851959,-13.52,-1382.00504616,-5868.52942753,-1.18451678753,0.262316,0.805908,0.0064310869202
-10.4052,11.3374,-12.9805,-11.0084,-0.101391757996,-0.00219647799054,14.4447,0.09363889694213867,0.3244659900665283,0.998382,10.2608,0.240359,0.977102556722,12,8.46225357055664,-7472.9743948,0.45545,0.0,20,-1.13373982906,6.602059364318848,83901.3,-28.8612,-14.685,-7106.84646463,0.0,-5.01494,-14.2137,115.81363844871521,-43.6516538631,-11.3521,0.0162849282607,294.069132054,0.45545,0.0503667593002,-13.4747,-1439.72237261,-6562.88301182,-1.18410658836,0.199793,0.802636,0.00643875589594
-10.1092,11.3492,-12.9663,-10.998,-0.100485966507,-0.00219049433324,14.47,0.09176945686340332,0.31327199935913086,0.999908,10.0161,0.209246,0.97415475912,13,8.365200519561768,-7706.11196613,0.515278,0.0,20,-1.1349234581,6.503146171569824,84900.3,-27.8464,-14.6792,-7270.17512083,0.0,-4.78761,-14.5403,124.19235253334045,-37.6556384031,-11.3339,0.0273651840336,371.245823006,0.515278,0.0470533370972,-13.4562,-1478.2550816,-6260.5666008,-1.1819767952,0.200782,0.825001,0.00642910320312
-9.80202,11.3455,-12.9729,-10.9903,-0.100422704891,-0.00220339947132,14.7498,0.10580062866210938,0.32094478607177734,0.999417,9.76335,0.162122,0.973742271614,14,8.422771453857422,-7760.38682747,0.358747,0.0,20,-1.13454651833,6.474452495574951,84580.9,-30.2708,-14.912,-7283.2488723,0.0,-5.03499,-14.5665,132.6212978363037,-41.012121556,-11.3247,0.0206018612506,326.09462388,0.358747,0.0489723682404,-13.4639,-1490.89426693,-6361.98087883,-1.18351888657,0.179381,0.845453,0.00653964374214
-9.4692,11.3423,-12.9595,-11.0203,-0.101104494368,-0.00224762968601,15.0637,0.08983540534973145,0.32556724548339844,0.999052,9.47959,0.138511,0.977315129827,15,8.379064798355103,-7916.40417433,0.364975,0.0,20,-1.13423168659,6.5212907791137695,84315.2,-28.933,-15.2022,-7494.02411861,0.0,-5.25646,-14.988,141.00678944587708,-50.0161908548,-11.3428,0.00331974234452,383.046930553,0.364975,0.0504915714264,-13.4646,-1507.09991588,-6407.24444151,-1.18472325802,0.160521,0.863842,0.00642994325608
-9.19157,11.3518,-12.9299,-11.0174,-0.101117547901,-0.00222711807783,14.9755,0.0950310230255127,0.29473209381103516,1.00027,9.24946,0.110606,0.969746182037,16,8.388394117355347,-7894.60253048,0.276767,0.0,20,-1.13517868519,6.524681329727173,85117.8,-29.7475,-15.0861,-7367.48082075,0.0,-5.5881,-14.735,149.4082953929901,-46.882014724,-11.3518,0.00958063653088,327.175262043,0.276767,0.0675348043442,-13.4489,-1510.49621341,-6591.4283886,-1.20271348953,0.17316,0.876771,0.00990970805287
-9.11415,11.3621,-12.945,-11.0132,-0.101572742233,-0.00226008070636,15.2346,0.09508347511291504,0.3275876045227051,1.00158,9.21704,0.084663,0.960823170817,17,8.454262971878052,-8390.37480021,0.388004,0.0,20,-1.13620638847,6.557693719863892,85996.8,-29.7334,-15.3192,-7515.63523686,0.0,-5.46471,-15.0313,157.86895442008972,-54.8146475792,-11.3476,-0.00579647221883,510.747949767,0.388004,0.0617339611053,-13.4538,-1547.86903399,-6546.84886742,-1.19794034958,0.163229,0.878136,0.00990186911076
-8.82254,11.3746,-13.0178,-11.0009,-0.101001573856,-0.0021893420997,15.5325,0.09684872627258301,0.3214278221130371,1.00315,8.97035,0.0417173,0.975863955268,18,8.547276258468628,-8155.45858145,0.25128,0.0,20,-1.13746297359,6.615112543106079,87084.4,-30.1931,-15.5742,-7551.84139237,0.0,-5.29034,-15.1037,166.42934489250183,-52.7653847774,-11.3412,-0.00233985359906,387.024989842,0.25128,0.0583915710449,-13.4981,-1565.91347655,-6920.05029297,-1.19585454464,0.145192,0.891729,0.00984499044716
-8.71002,11.3762,-13.0142,-11.036,-0.101392025037,-0.00225147894987,15.5402,0.09937834739685059,0.3171956539154053,1.00344,8.85684,0.0394036,0.973548649706,19,8.380856990814209,-8357.55600739,0.242628,0.0,20,-1.13762223721,6.496165752410889,87222.9,-30.4119,-15.5796,-7507.27892349,0.0,-4.87154,-15.0146,174.81670355796814,-48.1394719085,-11.3485,0.00736456016946,506.328810432,0.242628,0.0489172935486,-13.4975,-1559.50686035,-6873.37037945,-1.18653953075,0.14773,0.895698,0.00642056716606
