GCLAverageExpertLogPtau,Entropy,GCLMedianExpertLogQtau,GCLMedianLogQtau,AvgRewardCtrl,AvgRewardContact,GCLAverageEnergy,ProcessExecTime,PolicyExecTime,AveragePolicyStd,GCLAverageExpertEnergy,GCLLogZ,ExplainedVariance,Iteration,ItrTime,MinReturn,IRLLoss,MeanKLBefore,NumTrajs,LossBefore,EnvExecTime,Perplexity,IRLRewardMin,GCLAverageLogPtau,AverageReturn,AvgRewardFlipped,IRLRewardMax,IRLRewardMean,Time,OriginalTaskAverageReturn,GCLAverageLogQtau,AvgRewardFwd,StdReturn,GCLDiscrimLoss,dLoss,GCLAverageExpertLogQtau,AverageDiscountedReturn,MaxReturn,LossAfter,GCLAverageDtau,GCLAverageExpertDtau,MeanKL
-1.6326,11.3515,-14.4407,-11.0339,-0.107563839335,-0.00231326304347,0.876805,0.12227749824523926,0.3475942611694336,1.0,1.26813,0.0747369,2.24328333687e-11,0,11.154884576797485,-471.04950856,5.44414,0.0,20,-1.13515067101,6.742088794708252,85093.5,-5.70551,-0.951542,-438.402638835,0.0,0.427847,-0.876805,11.154878616333008,-48.356819367,-11.3391,0.0131634636443,16.7694221956,5.44414,0.0431340932846,-14.7487,-91.8969976261,-412.530951425,-1.17828476429,0.999878,0.999945,0.00650727236643
-2.59385,11.3416,-14.4432,-10.9873,-0.106836476437,-0.00243122599601,1.62107,0.13726806640625,0.34363245964050293,0.998758,2.21214,0.0918514,0.772555358879,1,9.58761215209961,-830.733358383,5.04916,0.0,20,-1.13415527344,6.8638927936553955,84250.6,-7.66557,-1.71292,-804.041107222,0.0,-0.07193,-1.60808,20.75517964363098,-45.0953151904,-11.3246,0.0190770720518,19.0369251363,5.04916,0.0454046726227,-14.749,-168.002549189,-769.432482451,-1.17955994606,0.999606,0.999815,0.00643596285954
-3.74274,11.3283,-14.4379,-10.9857,-0.106563051421,-0.00237466026343,2.58227,0.1267099380493164,0.6411106586456299,0.997108,3.34807,0.0914086,0.851621017275,2,11.114135980606079,-1327.76071662,4.57321,0.0,20,-1.13282871246,7.988921165466309,83140.2,-11.5544,-2.67368,-1290.89306952,0.0,-0.423088,-2.58179,31.87580966949463,-43.2562568641,-11.3183,0.0224251979557,25.3977962532,4.57321,0.0592396259308,-14.7547,-265.6900532,-1245.4186523,-1.19206833839,0.997791,0.999199,0.00996711850166
-5.21974,11.3259,-14.4431,-10.9904,-0.107209191258,-0.00241624185849,3.88038,0.10533738136291504,0.2804570198059082,0.996815,4.82763,0.102887,0.867161011078,3,8.69348955154419,-2016.15366101,4.18629,0.0,20,-1.13259136677,6.307022333145142,82943.3,-15.1084,-3.98327,-1948.42515625,0.0,-0.890803,-3.89685,40.57563281059265,-43.8264460054,-11.3131,0.0219725411058,37.4641110396,4.18629,0.059021115303,-14.7586,-400.080428714,-1840.48440671,-1.19161248207,0.993045,0.995187,0.00997653696686
-7.08329,11.3418,-14.4261,-11.0298,-0.107187070228,-0.00240863521131,5.67076,0.10501766204833984,0.2809460163116455,0.998811,6.75574,0.0734549,0.890219772268,4,8.75519347190857,-2917.12611675,3.25152,0.0,20,-1.13418340683,6.308184862136841,84274.4,-18.9206,-5.74422,-2821.78424776,0.0,-1.45119,-5.64357,49.33729290962219,-50.4938141385,-11.3413,0.00860807716194,63.3830719844,3.25152,0.0444315671921,-14.7452,-577.542191048,-2686.81168532,-1.17861497402,0.966701,0.972162,0.00644653337076
-9.28502,11.3495,-14.2973,-11.0161,-0.108058744809,-0.00233895064896,7.93976,0.1591939926147461,0.2813701629638672,0.999771,9.01118,0.0590247,0.905419151704,5,8.539578914642334,-4089.38950348,2.39438,0.0,20,-1.13494634628,6.236975908279419,84919.5,-25.1561,-7.99879,-3935.14668684,0.0,-2.12119,-7.87029,57.883925676345825,-43.2999147944,-11.3391,0.0237978658688,115.147217508,2.39438,0.0470808744431,-14.6238,-805.809396018,-3628.07771039,-1.18202722073,0.84546,0.890641,0.00641898345202
-11.289,11.3641,-14.2764,-11.0083,-0.106833150084,-0.00240588573599,10.3979,0.15088200569152832,0.29868388175964355,1.00162,11.0632,0.0462339,0.932862734978,6,8.601980686187744,-5363.6306026,1.6149,0.0,20,-1.13640701771,6.328792572021484,86169.7,-29.0218,-10.4441,-5205.63483005,0.0,-3.06871,-10.4113,66.4922845363617,-39.7897095266,-11.3233,0.0296596167665,124.489140804,1.6149,0.0429826974869,-14.5895,-1063.19061581,-4936.13862467,-1.17938971519,0.606982,0.769696,0.00639041233808
-12.2995,11.3468,-14.3712,-11.0169,-0.107739035917,-0.0024486223138,12.236,0.14682650566101074,0.28266096115112305,0.999441,12.1417,0.0145583,0.96176377306,7,8.496052026748657,-6424.19437599,1.15332,0.0,20,-1.13467514515,6.344059467315674,84690.2,-34.2022,-12.2506,-6089.9868125,0.0,-3.42498,-12.18,74.99459052085876,-45.6836053955,-11.3439,0.0188204474396,212.628646485,1.15332,0.0481690168381,-14.6968,-1249.36007408,-5692.71307182,-1.18284416199,0.413507,0.706092,0.00640823831782
-12.3508,11.3537,-14.3986,-11.0094,-0.107092793958,-0.00242373849149,13.3568,0.10039567947387695,0.30147886276245117,1.00031,12.3078,-0.0404429,0.977243973869,8,8.261976957321167,-6962.17905092,0.774831,0.0,20,-1.1353687048,6.321313381195068,85279.4,-32.6395,-13.3163,-6705.59820573,0.0,-3.85193,-13.4112,83.2628002166748,-47.1179727582,-11.3391,0.0152805869334,257.46756676,0.774831,0.0455912351608,-14.7292,-1358.78057238,-5700.978369,-1.18095993996,0.303325,0.709194,0.00639840448275
-11.7853,11.3521,-14.468,-11.0112,-0.106817082491,-0.00238924439811,13.7684,0.09238171577453613,0.31136107444763184,1.0001,11.8247,-0.0851505,0.982321295458,9,8.444683074951172,-7161.63520718,0.624094,0.0,20,-1.13521027565,6.487922668457031,85144.7,-35.0772,-13.6832,-6860.65074917,0.0,-3.94096,-13.7213,91.72088408470154,-46.6323155236,-11.3299,0.0159416958421,249.290366751,0.624094,0.0514440536499,-14.7885,-1385.9968105,-5941.47886086,-1.1866543293,0.259625,0.768142,0.00654545752332
-11.1901,11.3633,-14.4312,-10.9944,-0.106323735445,-0.00246229548743,13.8073,0.09147453308105469,0.32440948486328125,1.00152,11.2806,-0.11155,0.983930207613,10,8.505142450332642,-7178.5991106,0.623869,0.0,20,-1.136328578,6.547668218612671,86101.4,-33.9341,-13.6958,-6860.64023719,0.0,-4.11134,-13.7213,100.23239326477051,-40.6775980566,-11.3275,0.0274308348188,228.66756179,0.623869,0.0448446273804,-14.7541,-1398.04175041,-6228.65604639,-1.18117320538,0.255032,0.81859,0.00651605660096
-11.1008,11.3592,-14.3891,-11.0272,-0.107971529354,-0.00236646272503,14.3468,0.09968018531799316,0.3148634433746338,1.001,11.2689,-0.167736,0.985086147369,11,8.482835531234741,-7375.27841091,0.426676,0.0,20,-1.13592290878,6.587918758392334,85753.2,-34.2866,-14.1791,-7130.87289739,0.0,-4.59251,-14.2617,108.72209405899048,-49.0318194142,-11.3618,0.0122743532505,228.696630813,0.426676,0.0589408874512,-14.7127,-1452.95705588,-6563.64149809,-1.19486379623,0.215904,0.820498,0.0098865153268
-11.022,11.3825,-14.3991,-11.0388,-0.108380522821,-0.00243114791327,14.8106,0.10028529167175293,0.31923627853393555,1.00392,11.2439,-0.205017,0.98424217042,12,8.488992929458618,-7788.53629541,0.356217,0.0,20,-1.13824892044,6.535840749740601,87771.3,-33.4513,-14.6056,-7333.3176872,0.0,-4.21903,-14.6666,117.21744179725647,-48.6341421505,-11.3801,0.0135433864329,215.689752892,0.356217,0.048795580864,-14.716,-1492.50346574,-6922.8467083,-1.1870445013,0.186103,0.82465,0.00644863443449
-10.7134,11.3955,-14.4864,-11.027,-0.107576310251,-0.00238068217247,15.017,0.09406805038452148,0.31722521781921387,1.00555,10.9967,-0.235632,0.984368910075,13,8.557103872299194,-7791.22252226,0.436242,0.0,20,-1.13954627514,6.629892110824585,88917.2,-34.6982,-14.7814,-7473.94814606,0.0,-4.48236,-14.9479,125.78266644477844,-55.4872351469,-11.3613,-0.00101747787028,236.541979737,0.436242,0.047798871994,-14.8027,-1509.75357817,-6971.27953434,-1.18734514713,0.170542,0.848361,0.00647215265781
-10.4454,11.4023,-14.5071,-11.0283,-0.107168133091,-0.0023649680738,15.214,0.09097671508789062,0.3174707889556885,1.0064,10.8102,-0.286466,0.920111812012,14,8.51699948310852,-7887.69889212,0.364612,0.0,20,-1.1402258873,6.602034330368042,89523.6,-31.7187,-14.9275,-7523.51239328,0.0,-4.66773,-15.047,134.30815863609314,-44.6387882094,-11.3604,0.020255524746,530.563298591,0.364612,0.0497292280197,-14.8131,-1537.58357533,-5480.95123005,-1.18995511532,0.164074,0.861345,0.00640972610563
-10.1495,11.3973,-14.4334,-11.0582,-0.108552836341,-0.00237266417998,15.5363,0.1002035140991211,0.30384325981140137,1.00579,10.5645,-0.317741,0.983990786328,15,8.43145203590393,-7995.28539705,0.328092,0.0,20,-1.139726758,6.594202756881714,89077.7,-32.5953,-15.2185,-7708.15847838,0.0,-4.92753,-15.4163,142.74730944633484,-43.2841634691,-11.3813,0.0243571735829,260.013170125,0.328092,0.0597733259201,-14.7376,-1555.66606748,-6843.98118353,-1.19950008392,0.140268,0.872491,0.0098923034966
-9.95132,11.4177,-14.4737,-11.0609,-0.108075699717,-0.002412473877,15.6858,0.10034012794494629,0.32073092460632324,1.00839,10.4115,-0.347722,0.983832405897,16,8.48972463607788,-8108.46714497,0.225976,0.0,20,-1.14177322388,6.582240581512451,90920.0,-32.0378,-15.3381,-7760.42827616,0.0,-4.428,-15.5209,151.24343395233154,-35.4579246878,-11.3946,0.0395723242183,293.736046277,0.225976,0.0460770130157,-14.7783,-1576.92465806,-6918.60675049,-1.18785023689,0.137728,0.881048,0.00644770963117
-9.9146,11.4241,-14.3995,-11.054,-0.10868447016,-0.00238860035701,15.777,0.09268879890441895,0.3165855407714844,1.00918,10.4038,-0.367282,0.984089025293,17,8.544955492019653,-8248.26234484,0.28363,0.0,20,-1.14240550995,6.665297746658325,91496.5,-31.1021,-15.4097,-7791.49355669,0.0,-4.96578,-15.583,159.79477405548096,-53.2942287567,-11.3896,0.00448461300378,299.060962373,0.28363,0.0476814508438,-14.7191,-1600.6358265,-6952.4579587,-1.19008696079,0.135658,0.878316,0.00654209218919
-9.54464,11.439,-14.379,-11.0421,-0.108879922422,-0.00236558078296,16.0123,0.09984278678894043,0.34091973304748535,1.01104,10.0787,-0.406943,0.977921181949,18,8.449864149093628,-8225.68582535,0.209223,0.0,20,-1.14389610291,6.595555305480957,92870.6,-29.4993,-15.6054,-7810.26933,0.0,-4.92025,-15.6205,168.25226855278015,-49.4980487153,-11.3833,0.0122494057739,349.592099399,0.209223,0.0593876838684,-14.6919,-1591.55467657,-6902.22370481,-1.20328378677,0.122716,0.894822,0.00993095058948
-9.20155,11.4283,-14.347,-11.0736,-0.107793021518,-0.00238994683407,16.037,0.09682679176330566,0.3013577461242676,1.00971,9.74747,-0.439781,0.987398991781,19,8.35517692565918,-8150.09783888,0.229236,0.0,20,-1.14282619953,6.50569748878479,91881.9,-31.615,-15.5972,-7901.788605,0.0,-5.02509,-15.8036,176.61421704292297,-39.0167014378,-11.3834,0.0321495654766,173.847679674,0.229236,0.0464808940887,-14.673,-1603.5594729,-7432.7694788,-1.18930709362,0.117895,0.909423,0.00644268328324
