AveragePolicyStd,MinReturn,LossBefore,LossAfter,AvgRewardContact,dLoss,PolicyExecTime,AverageDiscountedReturn,StdReturn,ItrTime,Time,AvgRewardFlipped,AvgRewardCtrl,ExplainedVariance,AverageReturn,Perplexity,ProcessExecTime,MeanKL,Entropy,Iteration,AvgRewardFwd,MaxReturn,MeanKLBefore,EnvExecTime,NumTrajs
1.0,-129.294160932,-1.13515043259,-1.16856372356,-0.00222743199338,0.0334132909775,0.3915104866027832,-15.1777353208,28.0266338185,15.802928924560547,15.80292558670044,0.0,-0.106575618723,1.38477007638e-10,-65.1442315499,85093.5,0.2633800506591797,0.00642034457996,11.3515,0,-0.0214854123839,8.55655892799,0.0,13.051259517669678,40
0.998805,-130.854238383,-1.13418495655,-1.16545569897,-0.00223817902708,0.0312707424164,0.35471630096435547,-13.0508733374,33.6995657304,14.040093898773193,29.84693217277527,0.0,-0.10572304334,0.323997080346,-58.3161563695,84276.1,0.1933286190032959,0.00654012523592,11.3419,1,-0.00867109037169,7.94920519641,0.0,12.397784233093262,40
0.995895,-102.654320461,-1.13183999062,-1.17569708824,-0.00225222224537,0.0438570976257,0.3506004810333252,-13.3455148008,21.9354211772,13.87950611114502,43.730361461639404,0.0,-0.105604650615,0.253492265423,-58.7534583087,82322.8,0.16518139839172363,0.0099019696936,11.3184,2,-0.00965004375701,-12.0530686189,0.0,12.372842073440552,40
0.998753,-103.325692742,-1.13414001465,-1.16722559929,-0.00222238736185,0.0330855846405,0.3049588203430176,-11.751685722,26.2490067975,13.423240900039673,57.15771412849426,0.0,-0.106202149804,0.144211033839,-55.0716784381,84238.4,0.2053356170654297,0.00651948479936,11.3414,3,-0.00171881971036,6.89873981869,0.0,11.651483058929443,40
0.999844,-110.532320363,-1.13501644135,-1.16809296608,-0.00225140407499,0.0330765247345,0.31162405014038086,-10.1334846592,28.2221093742,13.263307094573975,70.42613816261292,0.0,-0.105358873062,0.248438211036,-48.1485086597,84979.4,0.16118431091308594,0.00644307257608,11.3502,4,0.011313259818,9.2502545567,0.0,11.595256805419922,40
0.998482,-88.5578623361,-1.13392090797,-1.16701996326,-0.00224687411462,0.0330990552902,0.3059265613555908,-9.87326937868,22.6149601495,13.309384107589722,83.7395691871643,0.0,-0.105322779317,0.174123032243,-40.3290262967,84053.4,0.16152620315551758,0.00649417564273,11.3392,5,0.0269116008384,6.62516325583,0.0,11.752290725708008,40
0.998201,-103.841863102,-1.13370251656,-1.17759907246,-0.00224641114516,0.0438965559006,0.30695271492004395,-9.31879203108,25.4315457837,13.085746765136719,96.82911944389343,0.0,-0.105305716087,0.214131736278,-40.2136617489,83870.2,0.20937132835388184,0.00983817968518,11.337,6,0.0271248037344,15.0563735018,0.0,11.391098022460938,40
0.999667,-119.759381554,-1.13487052917,-1.1694560051,-0.00224429222605,0.0345854759216,0.2752969264984131,-10.0864294501,28.8251986921,12.395955562591553,109.22974562644958,0.0,-0.105313637656,0.26349658195,-48.177650395,84855.8,0.15247106552124023,0.00641563953832,11.3487,7,0.0112026290919,18.399707073,0.0,10.91703724861145,40
0.999933,-79.0516488161,-1.13506650925,-1.17059159279,-0.00225643450594,0.0355250835419,0.2604339122772217,-8.98623241294,22.1584616629,12.080127954483032,121.31384992599487,0.0,-0.104793105462,0.168454807736,-35.4494220756,85021.7,0.15314173698425293,0.00651324633509,11.3507,8,0.0361506958166,13.6684463201,0.0,10.628925561904907,40
1.00083,-107.982856775,-1.13577651978,-1.17727184296,-0.0022783047357,0.0414953231812,0.26355528831481934,-7.62173457467,26.8601238666,12.06029462814331,133.37817764282227,0.0,-0.10465001791,0.190870656276,-31.8573905118,85628.0,0.1532742977142334,0.00991599541157,11.3578,9,0.0432135416222,26.8613052885,0.0,10.60280728340149,40
1.00122,-86.3848864212,-1.13605701923,-1.17060291767,-0.00225382198779,0.0345458984375,0.2606830596923828,-7.33710818413,21.9657797094,12.027998208999634,145.41020250320435,0.0,-0.104431971439,0.175294186509,-30.4716628059,85868.3,0.15478730201721191,0.00646240077913,11.3606,10,0.0457424678151,3.96191254433,0.0,10.569904804229736,40
0.999869,-84.6065803901,-1.13494598866,-1.1666123867,-0.00222463340364,0.0316663980484,0.26613831520080566,-6.02184587116,21.7814368374,12.108750104904175,157.52285075187683,0.0,-0.103883161017,0.172382625837,-32.0546847498,84919.5,0.15008020401000977,0.00642416626215,11.3495,11,0.0419984249208,37.3456253303,0.0,10.620245933532715,40
0.997071,-75.8479797141,-1.1326802969,-1.16898107529,-0.00227373483562,0.036300778389,0.26114702224731445,-6.75906265202,24.0483501131,12.10701060295105,169.63451433181763,0.0,-0.104106645957,0.145552338286,-28.7416707845,83017.1,0.1509838104248047,0.00657335296273,11.3268,12,0.0488970392234,17.728516457,0.0,10.63220477104187,40
0.999044,-61.9238020136,-1.13423991203,-1.16615664959,-0.00227953133809,0.0319167375565,0.26350927352905273,-5.34540516929,22.0302850707,12.107862949371338,181.7463893890381,0.0,-0.103518076261,0.142959092813,-24.8953893229,84322.3,0.15685653686523438,0.00659048976377,11.3424,13,0.0560068289533,20.8570606482,0.0,10.645360708236694,40
0.997413,-74.0211113705,-1.13291919231,-1.16821467876,-0.00228409134201,0.0352954864502,0.26343202590942383,-5.75548270028,24.0773982503,12.072043895721436,193.82248401641846,0.0,-0.103380578727,0.147064843337,-17.6561505173,83215.9,0.14841032028198242,0.00651745358482,11.3292,14,0.0703523690341,33.397425491,0.0,10.634290933609009,40
